
python check_exposure_pixel.py nowt/

 ---------------------------
 All Targets 
 ---------------------------
nowt/
find ./nowt/ |grep 'fits' 
...check exposure time and pixel size of all files...
986
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011225610_3s_0464.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011225504_6s_0463.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011230409_6s_0469.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011224232_3s_0453.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011225950_6s_0466.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011230632_3s_0471.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011224339_6s_0454.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011224907_3s_0458.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011225025_3s_0459.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011224801_6s_0457.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011230515_3s_0470.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011230057_3s_0467.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011225826_3s_0465.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011225238_3s_0461.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011224129_3s_0452.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011225340_3s_0462.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/FLAT/FLAT_B_20201011121805_28s_0039.fits 	 4160x4136 	 2048x2068 	 28S 	               FLAT
./nowt/20201011/FLAT/FLAT_U_20201011235733_6s_0506.fits 	 4160x4136 	 2048x2068 	 6S 	               FLAT
